brand_com;Country;FundationYear
Rolling Rock;Estados Unidos;1939
Sapporo;Japón;1876
Harp;Irlanda;1960
Amstel;Países Bajos;1870
Delirium;Bélgica;1989
BudLight;Estados Unidos;1982
Lowenbrau;Alemania;1746
Pabst Blue Ribbon;Estados Unidos;1844
Blue Moon;Estados Unidos;1995
Hoegaarden;Bélgica;1445
Miller Draft;Estados Unidos;1855
Kirin;Japón;1885
Sierra Nevada;Estados Unidos;1979
Red Stripe;Jamaica;1928
Dos Equis;México;1897
Budweiser;Estados Unidos;1876
Murphys;Irlanda;1856
Becks;Alemania;1873
Fosters;Australia;1888
Samuel Adams;Estados Unidos;1984
Stella Artois;Bélgica;1926
Leffe;Bélgica;1240
Heineken;Países Bajos;1864
Birra Moretti;Italia;1859
Tsingtao;China;1903
Paulaner;Alemania;1634
Corona Extra;México;1925
Coors lite;Estados Unidos;1978
Quimes;Argentina;1890
Carlsberg;Dinamarca;1847
Guinness;Irlanda;1759
Patagonia;Argentina;2015
