id_cmr,id_ns
1,0T04
2,3T21
3,4T03
4,5T11
5,5T16
6,6T13
7,6T16
8,8T09
9,2T13
10,2T05
11,7T13
12,8T20
13,1T19
14,2T02
15,3T12
16,7T08
17,7T19
18,8T21
19,9T02
20,7T05
21,9T13
22,0T07
23,1T05
24,1T07
25,3T11
26,4T02
27,6T22
28,7T16
29,7T18
30,7T06
31,7T00
32,0T02
33,0T04
34,3T21
35,4T03
36,5T11
37,5T16
38,6T13
39,6T16
40,8T09
41,2T13
42,2T05
43,7T13
44,8T20
45,1T19
46,2T02
47,3T12
48,7T08
49,7T19
50,8T21
51,9T02
52,7T05
53,9T13
54,0T07
55,1T05
56,1T07
57,3T11
58,4T02
59,6T22
60,7T16
61,7T18
62,7T06
63,7T00
64,0T02
65,0T04
66,3T21
67,4T03
68,5T11
69,5T16
70,6T13
71,6T16
72,8T09
73,2T13
74,2T05
75,7T13
76,8T20
77,1T19
78,2T02
79,3T12
80,7T08
81,7T19
82,8T21
83,9T02
84,7T05
85,9T13
86,0T07
87,1T05
88,1T07
89,3T11
90,4T02
91,6T22
92,7T16
93,7T18
94,7T06
95,7T00
96,0T02
97,3T04
98,3T22
99,0T04
100,3T21
101,4T03
102,5T11
103,5T16
104,6T13
105,6T16
106,8T09
107,2T13
108,3T04
109,3T22
110,6T09
111,6T18
112,7T03
113,8T13
114,9T01
115,1T00
116,1T20
117,2T05
118,7T13
119,8T20
120,1T19
121,2T02
122,3T12
123,7T08
124,7T19
125,8T13
126,8T13
127,8T21
128,9T02
129,9T03
130,9T06
131,9T15
132,0T19
133,0T21
134,1T19
135,1T23
136,2T01
137,3T18
138,4T04
139,4T11
140,4T13
141,6T08
142,6T21
143,7T05
144,9T13
145,9T15
146,0T07
147,1T05
148,1T07
149,3T11
150,4T02
151,4T11
152,6T22
153,7T16
154,7T18
155,1T00
156,1T19
157,2T04
158,3T09
159,4T15
160,4T21
161,7T06
162,7T00
163,0T02
164,0T04
165,3T21
166,4T03
167,5T11
168,5T16
169,6T13
170,6T16
171,8T09
172,2T13
173,3T04
174,3T22
175,6T09
176,6T18
177,7T03
178,8T13
179,9T01
180,1T00
181,1T20
182,2T05
183,7T13
184,8T20
185,1T19
186,2T02
187,3T12
188,7T08
189,7T19
190,8T13
191,8T13
192,8T21
193,9T02
194,9T03
195,9T06
196,9T15
197,0T19
198,0T04
199,3T21
200,4T03
201,5T11
202,5T16
203,6T13
204,6T16
205,8T09
206,2T13
207,3T04
208,3T22
209,6T09
210,6T18
211,7T03
212,8T13
213,9T01
214,1T00
215,1T20
216,2T05
217,7T13
218,8T20
219,1T19
220,2T02
221,3T12
222,7T08
223,7T19
224,8T13
225,8T13
226,8T21
227,9T02
228,9T03
229,9T06
230,9T15
231,0T19
232,0T21
233,1T19
234,1T23
235,2T01
236,3T18
237,4T04
238,4T11
239,4T13
240,6T08
241,6T21
242,7T05
243,9T13
244,9T15
245,0T07
246,1T05
247,1T07
248,3T11
249,4T02
250,4T11
251,6T22
252,7T16
253,7T18
254,1T00
255,1T19
256,2T04
257,3T09
258,4T15
259,4T21
260,7T06
261,7T00
262,0T02
263,0T04
264,3T21
265,4T03
266,5T11
267,5T16
268,6T13
269,6T16
270,8T09
271,2T13
272,3T04
273,3T22
274,6T09
275,6T18
276,7T03
277,8T13
278,9T01
279,1T00
280,1T20
281,2T05
282,7T13
283,8T20
284,1T19
285,2T02
286,3T12
287,7T08
288,7T19
289,8T13
290,8T13
291,8T21
292,9T02
293,9T03
294,9T06
295,9T15
296,0T04
297,3T21
298,4T03
299,5T11
300,5T16
301,6T13
302,6T16
303,8T09
304,2T13
305,2T05
306,7T13
307,8T20
308,1T19
309,2T02
310,3T12
311,7T08
312,7T19
313,8T21
314,9T02
315,7T05
316,9T13
317,0T07
318,1T05
319,1T07
320,3T11
321,4T02
322,6T22
323,7T16
324,7T18
325,7T06
326,7T00
327,0T02
328,0T04
329,3T21
330,4T03
331,5T11
332,5T16
333,6T13
334,6T16
335,8T09
336,2T13
337,2T05
338,7T13
339,8T20
340,1T19
341,2T02
342,3T12
343,7T08
344,7T19
345,8T21
346,9T02
347,7T05
348,9T13
349,0T07
350,1T05
351,1T07
352,3T11
353,4T02
354,6T22
355,7T16
356,7T18
357,7T06
358,7T00
359,0T02
360,0T04
361,3T21
362,4T03
363,5T11
364,5T16
365,6T13
366,6T16
367,8T09
368,2T13
369,2T05
370,7T13
371,8T20
372,1T19
373,2T02
374,3T12
375,7T08
376,7T19
377,8T21
378,9T02
379,7T05
380,9T13
381,0T07
382,1T05
383,1T07
384,3T11
385,4T02
386,6T22
387,7T16
388,7T18
389,7T06
390,7T00
391,0T02
392,3T04
393,3T22
394,0T04
395,3T21
396,4T03
397,5T11
398,5T16
399,6T13
400,6T16
401,8T09
402,2T13
403,3T04
404,3T22
405,6T09
406,6T18
407,7T03
408,8T13
409,9T01
410,1T00
411,1T20
412,2T05
413,7T13
414,8T20
415,1T19
416,2T02
417,3T12
418,7T08
419,7T19
420,8T13
421,8T13
422,8T21
423,9T02
424,9T03
425,9T06
426,9T15
427,0T19
428,0T21
429,1T19
430,1T23
431,2T01
432,3T18
433,4T04
434,4T11
435,4T13
436,6T08
437,6T21
438,7T05
439,9T13
440,9T15
441,0T07
442,1T05
443,1T07
444,3T11
445,4T02
446,4T11
447,6T22
448,7T16
449,7T18
450,1T00
451,1T19
452,2T04
453,3T09
454,4T15
455,4T21
456,7T06
457,7T00
458,0T02
459,0T04
460,3T21
461,4T03
462,5T11
463,5T16
464,6T13
465,6T16
466,8T09
467,2T13
468,3T04
469,3T22
470,6T09
471,6T18
472,7T03
473,8T13
474,9T01
475,1T00
476,1T20
477,2T05
478,7T13
479,8T20
480,1T19
481,2T02
482,3T12
483,7T08
484,7T19
485,8T13
486,8T13
487,8T21
488,9T02
489,9T03
490,9T06
491,9T15
492,0T19
493,0T04
494,3T21
495,4T03
496,5T11
497,5T16
498,6T13
499,6T16
500,8T09
501,2T13
502,3T04
503,3T22
504,6T09
505,6T18
506,7T03
507,8T13
508,9T01
509,1T00
510,1T20
511,2T05
512,7T13
513,8T20
514,1T19
515,2T02
516,3T12
517,7T08
518,7T19
519,8T13
520,8T13
521,8T21
522,9T02
523,9T03
524,9T06
525,9T15
526,0T19
527,0T21
528,1T19
529,1T23
530,2T01
531,3T18
532,4T04
533,4T11
534,4T13
535,6T08
536,6T21
537,7T05
538,9T13
539,9T15
540,0T07
541,1T05
542,1T07
543,3T11
544,4T02
545,4T11
546,6T22
547,7T16
548,7T18
549,1T00
550,1T19
551,2T04
552,3T09
553,4T15
554,4T21
555,7T06
556,7T00
557,0T02
558,0T04
559,3T21
560,4T03
561,5T11
562,5T16
563,6T13
564,6T16
